,asn_v4,Abandoned,Connected,Disconnected,network_type
130,37020,1.0,0.0,0.0,Not Disclosed
131,37034,1.0,0.0,0.0,Cable/DSL/ISP
132,37037,1.0,0.0,0.0,Cable/DSL/ISP
133,37043,1.0,0.0,0.0,Unknown
134,37045,2.0,0.0,0.0,Unknown
135,37053,1.0,0.0,0.0,NSP
136,37054,2.0,3.0,0.0,Cable/DSL/ISP
137,37057,1.0,0.0,0.0,Unknown
138,37061,0.0,1.0,0.0,Unknown
139,37063,3.0,0.0,0.0,NSP
140,37074,0.0,1.0,0.0,Unknown
141,37084,1.0,1.0,1.0,Cable/DSL/ISP
142,37090,10.0,3.0,4.0,Cable/DSL/ISP
143,37094,1.0,0.0,0.0,Unknown
144,37098,4.0,0.0,0.0,Cable/DSL/ISP
145,37100,11.0,3.0,0.0,NSP
146,37101,1.0,0.0,0.0,Unknown
147,37105,2.0,1.0,0.0,NSP
148,37123,1.0,0.0,0.0,Cable/DSL/ISP
149,37126,0.0,1.0,0.0,Cable/DSL/ISP
150,37136,1.0,1.0,0.0,Unknown
151,37139,1.0,0.0,0.0,Unknown
152,37153,1.0,1.0,0.0,Content
153,37154,2.0,0.0,0.0,Cable/DSL/ISP
154,37168,1.0,0.0,0.0,NSP
155,37172,0.0,0.0,1.0,NSP
156,37182,2.0,1.0,0.0,Not Disclosed
157,37183,2.0,0.0,0.0,Cable/DSL/ISP
158,37184,1.0,0.0,0.0,Unknown
159,37187,0.0,2.0,0.0,Cable/DSL/ISP
160,37192,1.0,0.0,0.0,Cable/DSL/ISP
161,37196,1.0,0.0,0.0,Unknown
162,37197,4.0,0.0,0.0,Unknown
163,37199,0.0,4.0,0.0,Cable/DSL/ISP
164,37204,3.0,0.0,1.0,Cable/DSL/ISP
165,37213,1.0,0.0,0.0,Unknown
166,37228,3.0,0.0,0.0,Unknown
167,37229,1.0,0.0,0.0,Not Disclosed
168,37233,2.0,0.0,0.0,Unknown
169,37280,1.0,0.0,0.0,Cable/DSL/ISP
170,37281,1.0,0.0,0.0,Not Disclosed
171,37282,2.0,0.0,1.0,NSP
172,37284,2.0,0.0,0.0,Cable/DSL/ISP
173,37286,0.0,0.0,1.0,Educational/Research
174,37292,1.0,0.0,0.0,Unknown
175,37294,1.0,0.0,0.0,NSP
176,37302,1.0,0.0,0.0,Cable/DSL/ISP
177,37303,1.0,0.0,0.0,Cable/DSL/ISP
178,37305,1.0,0.0,0.0,Cable/DSL/ISP
179,37309,3.0,0.0,0.0,Not Disclosed
180,37313,2.0,0.0,0.0,NSP
181,37315,1.0,0.0,0.0,NSP
182,37322,1.0,0.0,0.0,Not Disclosed
183,37336,0.0,1.0,0.0,Unknown
184,37340,2.0,0.0,0.0,Cable/DSL/ISP
185,37343,1.0,0.0,0.0,Unknown
186,37346,1.0,0.0,0.0,Unknown
187,37349,1.0,0.0,0.0,Cable/DSL/ISP
188,37350,1.0,0.0,0.0,Unknown
189,37356,1.0,0.0,0.0,Cable/DSL/ISP
190,37358,1.0,0.0,0.0,Cable/DSL/ISP
191,37363,7.0,0.0,0.0,Cable/DSL/ISP
192,37381,1.0,0.0,0.0,Cable/DSL/ISP
193,37385,6.0,0.0,0.0,Unknown
194,37386,0.0,1.0,0.0,Route Server
195,37388,1.0,0.0,0.0,Unknown
196,37390,1.0,1.0,0.0,Cable/DSL/ISP
197,37403,2.0,0.0,0.0,Cable/DSL/ISP
198,37405,1.0,0.0,0.0,Unknown
199,37417,1.0,0.0,0.0,Cable/DSL/ISP
200,37424,8.0,2.0,1.0,Not Disclosed
201,37443,1.0,0.0,0.0,Unknown
202,37451,1.0,0.0,0.0,Cable/DSL/ISP
203,37457,7.0,4.0,0.0,Cable/DSL/ISP
204,37463,1.0,0.0,0.0,NSP
205,37468,1.0,1.0,0.0,NSP
206,37474,0.0,1.0,0.0,Non-Profit
