Rank,asn_v4,AS_Name,CC,Users,country_pct,Internet_pct,Samples
3721,"AS53093","Voax Provedor de Internet","BR",28947,0.02,0.0008,2796
3722,"AS3128","BRUWS-AS3128 - University of Wisconsin System","US",28942,0.01,0.0008,7292
3723,"AS52573","TECHNET NETWORKS LTDA -ME","BR",28937,0.02,0.0008,2795
3724,"AS5078","ONENET-AS-1 - Oklahoma Network for Education Enrichment and","US",28926,0.01,0.0008,7288
3725,"AS262150","Empresa Provincial de Energia de Cordoba","AR",28917,0.09,0.0008,4629
3726,"AS37540","WINROCK-","NG",28889,0.03,0.0008,527
3727,"AS132547","SAJAGPRAHARI-AS Sajag Prahari Foundation","IN",28869,0.01,0.0008,4042
3728,"AS48323","NEIRONSYSTEMS-NET","UA",28866,0.15,0.0008,6252
3729,"AS12611","RKOM R-KOM Regensburger Telekommunikations GmbH  Co. KG","DE",28843,0.04,0.0008,1791
3730,"AS59340","MSHELPLINE-BD Help Line","BD",28800,0.13,0.0008,4204
3731,"AS264531","ULTRANETCE - VICENTE JULIANO M CARVALHO ME","BR",28761,0.02,0.0008,2778
3732,"AS159","OSUNET-AS - The Ohio State University","US",28760,0.01,0.0008,7246
3733,"AS31404","LYCATEL-AS","DK",28753,0.52,0.0008,2416
3734,"AS24255","T-CATV Tannan Cable Television Corporation","JP",28714,0.02,0.0008,1738
3735,"AS263467","CORE TELECOM  IT LTDA","BR",28699,0.02,0.0008,2772
3736,"AS56166","IISERBNET-IN IISER Bhopal Campus","IN",28691,0.01,0.0008,4017
3737,"AS45469","ELECON-IN Elecon Information Technology Ltd","IN",28662,0.01,0.0008,4013
3738,"AS263574","VANILCE PAES DE ARRUDA COTTA ME","BR",28657,0.02,0.0008,2768
3739,"AS50767","FIBERLINK-AS","PL",28652,0.10,0.0008,5267
3740,"AS133236","A3LOGICS-AS-IN A3logics india Private Limited","IN",28648,0.01,0.0008,4011
3741,"AS52993","Ver Tv Comunicaes SA","BR",28647,0.02,0.0008,2767
3742,"AS3598","MICROSOFT-CORP-AS - Microsoft Corporation","SG",28636,0.59,0.0008,8459
3743,"AS51259","PIXEL-AS","AZ",28630,0.47,0.0008,2821
3744,"AS45763","SELEMENTS-AU-SYD Service Elements","AU",28618,0.13,0.0008,2264
3745,"AS134343","OMSAI-AS Om Sai Entertainment","IN",28605,0.01,0.0008,4005
3746,"AS44484","XTRIM-AS","RU",28602,0.03,0.0008,4034
3747,"AS51074","MABNA","IR",28598,0.07,0.0008,1627
3748,"AS42922","KASPNET-AS","RU",28588,0.03,0.0008,4032
3749,"AS135376","CONNECTTELECOM-ISP-AS-AP Connect Telecom ISP Afghanistan","AF",28576,1.13,0.0008,2268
3750,"AS21980","Dayco Telecom, C.A.","VE",28569,0.15,0.0008,1908
3751,"AS40065","CNSERVERS - CNSERVERS LLC","US",28561,0.01,0.0008,7196
3752,"AS327984","Skyfi-Internet-Solutions","ZA",28559,0.09,0.0008,679
3753,"AS48882","OPTIMA-SHID-AS","UA",28557,0.15,0.0008,6185
